StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent_q,attn_1,attn_2,Annotated_Capability_1,Annotated_Trust_1_1,Annotated_Why,Unannotated_Capability_1,Unannotated_Trust_1_1,Unannotat_Why,comp_images,comp_pedestrian,AI_Familiarity_1,Visual_Familiarity_1,gender,gender_5_TEXT,age,education,education_8_TEXT,income
2/9/24 14:49,2/9/24 14:52,0,100,143,1,2/9/24 14:52,R_63fwya6NNThUoc9,anonymous,EN,1,1,2,,,,100,100,"The pedestrian on the left has his foot out in a way that he appears to be wanting to cross the street, so I trust the AI to act appropriately in that case.",1,1,15,0,1,,31,3,,13
2/9/24 14:50,2/9/24 14:52,0,100,106,1,2/9/24 14:52,R_6rqMPADBLpnhY3X,anonymous,EN,1,1,2,,,,100,100,His body is facing the street and his legs are in a walking position,1,1,95,91,2,,45,4,,13
2/9/24 14:49,2/9/24 14:52,0,100,169,1,2/9/24 14:52,R_77sZtSmgmmM6Utb,anonymous,EN,1,1,2,,,,95,10,"In the first question, the AI doesn't have the pedestrian in a box (meaning that it hasn't recognized or acknowledged the person). Secondly, the pedestrian is pointed in the direction of the crosswalk and already has one foot in front of the other. ",1,1,90,60,2,,46,5,,10
2/9/24 14:49,2/9/24 14:52,0,100,176,1,2/9/24 14:52,R_6qfK1Wdm4tJ5g9Z,anonymous,EN,1,1,2,,,,30,32,"It recognizes everything else but not the person on the left. If it does not recognize the person, it will not react accordingly.",1,1,82,61,1,,29,4,,11
2/9/24 14:49,2/9/24 14:52,0,100,174,1,2/9/24 14:52,R_3knYgZPzkQAkn29,anonymous,EN,1,1,2,,,,81,80,"It is hard to tell, but I believe that an autonomous car should be able to tell those things.",1,1,79,80,2,,43,3,,13
2/9/24 14:49,2/9/24 14:52,0,100,165,1,2/9/24 14:52,R_3Gmrs1FK78FaKEp,anonymous,EN,1,1,2,75,75,"The person is facing away from the road and is at a standstill, but AI makes errors, so I cannot trust it fully.",,,,1,2,100,60,1,,33,1,,12
2/9/24 14:49,2/9/24 14:52,0,100,187,1,2/9/24 14:52,R_6eqSL8qUy9lFJ5L,anonymous,EN,1,1,2,30,40,The autonomous vehicle can not predict what the pedestrian will do. It can only use an algorithm to guess what they will do. It would be difficult to trust that the vehicle will behave appropriately.,,,,1,2,85,65,1,,52,4,,10
2/9/24 14:49,2/9/24 14:52,0,100,166,1,2/9/24 14:52,R_5AvYlELZtHhrw5P,anonymous,EN,1,1,2,,,,71,83,in my best opinion and i did my best knowledge feel very good,1,1,76,56,2,,33,5,,9
2/9/24 14:50,2/9/24 14:52,0,100,127,1,2/9/24 14:52,R_3NPyJ2NZKCgD9A1,anonymous,EN,1,1,2,,,,45,45,"It marked the person on the right, but it did not mark the person on the left, so I don't think the tech in place will do anything to stop for the person on the left. ",1,1,65,75,2,,33,4,,15
2/9/24 14:50,2/9/24 14:52,0,100,119,1,2/9/24 14:52,R_3gSDMuJbgLvv2yG,anonymous,EN,1,1,2,69,71,"It does not appear that the pedestrial on the right has the intention of crossing the street.  However, it is impossible to know for sure, so while I can be fairly confident, I can't say for certain./",,,,1,2,26,10,1,,44,2,,13
2/9/24 14:50,2/9/24 14:52,0,100,131,1,2/9/24 14:52,R_35GEDLc8YhYqBC2,anonymous,EN,1,1,2,,,,86,84,I would assume the car has been programmed to know a pedestrian in a crosswalk is in the act of crossing the street and that the car needs to avoid the human.,1,1,63,11,2,,39,4,,14
2/9/24 14:51,2/9/24 14:52,0,100,77,1,2/9/24 14:52,R_6ehlX0NbueldGVC,anonymous,EN,1,1,2,56,44,I think given the information provided it is the most logical answer. ,,,,1,1,54,57,1,,39,3,,14
2/9/24 14:50,2/9/24 14:52,0,100,100,1,2/9/24 14:52,R_6y2P7Up7l35FFD3,anonymous,EN,1,1,2,,,,60,63,The picture makes it confusing! I don't really understand what I am looking at. ,1,1,49,68,2,,34,4,,11
2/9/24 14:51,2/9/24 14:52,0,100,90,1,2/9/24 14:52,R_6Ngm1HL5yMSmmPn,anonymous,EN,1,1,2,,,,85,75,"The pedestrian is aligned with the crosswalk, so it can detect intent to cross. However, machines are not perfect, so there's always the chance for error.",1,1,75,75,1,,35,5,,12
2/9/24 14:50,2/9/24 14:52,0,100,158,1,2/9/24 14:52,R_7FAKPxb3kvsfZHX,anonymous,EN,1,1,2,,,,30,35,"The software didn't put a box around the person on the left and didn't tag them as a person, so I would be concerned about whether or not it would not hit them.",1,1,70,70,1,,48,1,,12
2/9/24 14:49,2/9/24 14:52,0,100,177,1,2/9/24 14:52,R_78HcagYPbaEKGS0,anonymous,EN,1,1,2,,,,92,92,"The person is already on the crosswalk, and the AI has noted it - so I believe it will behave appropriately and stop when the person is walking in front of the car",1,1,62,51,2,,32,4,,11
2/9/24 14:49,2/9/24 14:52,0,100,209,1,2/9/24 14:52,R_6k4UnRmhmqWMLw5,anonymous,EN,1,1,2,60,40,"I think it could possibly detect that the person doesn't intend to cross the road, but that doesn't mean other factors couldn't lead to the person getting into the road.",,,,1,2,50,20,2,,52,4,,12
2/9/24 14:50,2/9/24 14:52,0,100,158,1,2/9/24 14:52,R_3NDr5IeKtdsymYE,anonymous,EN,1,1,2,18,13,"It does not recognize the person crossing the street on the left, so I don't think it has the ability to detect these kinds of things and may not know how to react",,,,1,2,71,68,2,,22,3,,13
2/9/24 14:51,2/9/24 14:52,0,100,96,1,2/9/24 14:52,R_5g7t4JuOWEpetDk,anonymous,EN,1,1,2,,,,72,88,It appears to recognize and be aware of the pedestrian and its sensors seem vivid enough to notice that he is facing into the street,1,1,100,74,1,,33,2,,13
2/9/24 14:51,2/9/24 14:52,0,100,100,1,2/9/24 14:52,R_1efD0siJPh5YnuN,anonymous,EN,1,1,2,,,,0,0,It doesn't see the person on the left as there's no yellow box around it.,1,1,71,75,2,,34,5,,11
2/9/24 14:49,2/9/24 14:52,0,100,217,1,2/9/24 14:52,R_3OiWyIqtJYX9UCV,anonymous,EN,1,1,2,0,9,I don't see a box indicating that the software sees the  pedestrian at all.,,,,1,1,57,59,1,,39,3,,12
2/9/24 14:49,2/9/24 14:52,0,100,215,1,2/9/24 14:52,R_5vDZ4zVceUg2VSp,anonymous,EN,1,1,2,75,84,I feel it sees the person on the right but conflicted about whether the car know if he id crossing the street or not.,,,,1,2,66,18,2,,65,3,,14
2/9/24 14:50,2/9/24 14:53,0,100,167,1,2/9/24 14:53,R_6pdJlsTpN2Ljbah,anonymous,EN,1,1,2,,,,19,19,"There is no reason given why the car is not already identifying the person as ""person"" as the other person in the image is identified, which makes me think it may not see him at all.",1,1,9,8,1,,49,4,,14
2/9/24 14:49,2/9/24 14:53,0,100,205,1,2/9/24 14:53,R_3uQju0VDQ3eFMVH,anonymous,EN,1,1,2,75,55,I do not really trust AI to make predictions about people because people can react unexpectedly all of the time. However just by judging how his body and feel are positioned he is most likely not going to cross the street.,,,,1,2,55,60,1,,41,1,,16
2/9/24 14:50,2/9/24 14:53,0,100,159,1,2/9/24 14:53,R_72FlclxruRgQQ6P,anonymous,EN,1,1,2,,,,0,8,I don't think the AI on the car is able to tell whether the person is going to cross the street or stop.,1,1,81,71,2,,39,2,,10
2/9/24 14:49,2/9/24 14:53,0,100,233,1,2/9/24 14:53,R_648hHYbUKjNp5LU,anonymous,EN,1,1,2,75,85,The AI recognizes the pedestrian on the right as a person and I believe it would be able to recognize that the person is facing in the opposite direction.,,,,1,2,70,70,1,,60,3,,14
2/9/24 14:51,2/9/24 14:53,0,100,133,1,2/9/24 14:53,R_3KlrjEeFezWdrqr,anonymous,EN,1,1,2,,,,27,7,"The other person on the right was picked up already by the AI; with no bounding box, im afraid the car didnt recognize the person",1,1,100,91,1,,43,5,,13
2/9/24 14:51,2/9/24 14:53,0,100,123,1,2/9/24 14:53,R_6VcpM1GSsZapJrb,anonymous,EN,1,1,2,24,83,"I don't think the AI of a car can prove or disprove intent, so I just chose that it won't know what the pedestrian on the right of the screen will do.",,,,1,2,58,26,1,,50,5,,13
2/9/24 14:49,2/9/24 14:53,0,100,222,1,2/9/24 14:53,R_12Wv7FPdEZgttW9,anonymous,EN,1,1,2,,,,100,100,I believe AI drives better than humansHumans are careless and dont pay attention.,1,1,80,93,2,,43,5,,9
2/9/24 14:49,2/9/24 14:53,0,100,228,1,2/9/24 14:53,R_6VvDqj8ZtR1Uiqa,anonymous,EN,1,1,2,,,,100,0,He is already in the crosswalk facing across the street,1,1,66,58,2,,55,2,,14
2/9/24 14:51,2/9/24 14:53,0,100,139,1,2/9/24 14:53,R_1S27D6boZi9bZhT,anonymous,EN,1,1,2,65,73,"no Please rate the extent to which you agree with the following statements about the AI software that is creating these annotations:  In this image, the pedestrian on the right does not intend to",,,,1,1,34,79,1,,34,4,,11
2/9/24 14:51,2/9/24 14:53,0,100,131,1,2/9/24 14:53,R_5Q5cd04fmgsOyjL,anonymous,EN,1,1,2,,,,18,18,The person is clearly in the road and in the cameras range it should know the person is walking.,1,1,79,67,1,,32,1,,15
2/9/24 14:50,2/9/24 14:53,0,100,168,1,2/9/24 14:53,R_6GB5HYup1nI8xa0,anonymous,EN,1,1,2,,,,93,92,It identified the pedestrian and mapped out his most likely path so the AI seems to have identified the pedestrian and be in control.,1,1,71,67,1,,61,5,,11
2/9/24 14:50,2/9/24 14:53,0,100,164,1,2/9/24 14:53,R_1FoaebpXlp6ZAwp,anonymous,EN,1,1,2,,,,90,51,I don't know if the car recognizes the pedestrian yet ,1,1,70,61,1,,49,2,,12
2/9/24 14:49,2/9/24 14:53,0,100,245,1,2/9/24 14:53,R_1w5ExUA2LP2cfdV,anonymous,EN,1,1,2,70,75,"The pedestrian has his back to the crosswalk. At this time, the pedestrian doesn't indicate he wants to cross the crosswalk, but he could change his mind.",,,,1,2,80,50,2,,43,4,,13
2/9/24 14:51,2/9/24 14:53,0,100,149,1,2/9/24 14:53,R_66ndaV1sBl7He6d,anonymous,EN,1,1,2,,,,73,61,"I dont know much about AI. I assume that it can sense when something is in motion and the direction of its motion. But, I am not 100% sure.",1,1,19,16,2,,45,5,,12
2/9/24 14:51,2/9/24 14:53,0,100,159,1,2/9/24 14:53,R_5HojpeBVHYqKBuR,anonymous,EN,1,1,2,,,,0,0,"It doesn't have a brain. It's not alive. It only has programming. The pedestrian could choose to run, to do anything. A.I. is inert. Not smart. Nothing. It's a program.",1,1,51,74,2,,30,5,,12
2/9/24 14:50,2/9/24 14:53,0,100,208,1,2/9/24 14:53,R_3DTzeXSEfgULrs1,anonymous,EN,1,1,2,77,100,"Based on this autonomous vehicle sees above, I trust that it will behave appropriately around the pedestrian on the right in this image.",,,,1,2,100,100,1,,34,4,,8
2/9/24 14:51,2/9/24 14:53,0,100,137,1,2/9/24 14:53,R_61oIzB1Gha8EPCN,anonymous,EN,1,1,2,,,,20,20,"The person in the picture is not highlighted at all, therefore I do not know that the car recognizes there is even someone/something present.",1,1,70,10,2,,43,5,,10
2/9/24 14:49,2/9/24 14:53,0,100,259,1,2/9/24 14:53,R_5QzXFkE0vuMpy8R,anonymous,EN,1,1,2,,,,0,0,The person on the right was indicated as a person with a box around it but the person on the left is not.,1,1,90,80,1,,31,4,,13
2/9/24 14:52,2/9/24 14:53,0,100,110,1,2/9/24 14:54,R_5Qt5RmKnlMjmRci,anonymous,EN,1,1,2,,,,0,0,"There is no box around the person, so I must assume it doesn't see them yet. And the person is mid stride in the crosswalk, clearly crossing.",1,1,65,8,1,,26,3,,13
2/9/24 14:52,2/9/24 14:54,0,100,108,1,2/9/24 14:54,R_5pzGAyTDNBxnxN2,anonymous,EN,1,1,2,82,93,I think that it can tell that the person is facing the opposite direction,,,,1,2,77,40,1,,27,4,,9
2/9/24 14:50,2/9/24 14:54,0,100,195,1,2/9/24 14:54,R_65KhVPqjXthGFkp,anonymous,EN,1,1,2,,,,100,25,The car doesn't register the person so I don't think it will avoid him.,1,1,56,57,2,,39,4,,13
2/9/24 14:53,2/9/24 14:54,0,100,63,1,2/9/24 14:54,R_7pQ7TN9nImYSxP5,anonymous,EN,1,1,2,,,,75,72,"Based on the information, it seems safe and reliable. ",1,1,75,84,1,,29,4,,11
2/9/24 14:51,2/9/24 14:54,0,100,164,1,2/9/24 14:54,R_5kMHohMjmoZQfVu,anonymous,EN,1,1,2,,,,98,97,It should be able to tell that the pedestrian is walking towards the center of street on the crosswalk. ,1,1,71,50,1,,46,3,,14
2/9/24 14:52,2/9/24 14:54,0,100,136,1,2/9/24 14:54,R_6B505tAVZKjs6CM,anonymous,EN,1,1,2,,,,18,19,"The person on the left is not labeled, according to the image.  That makes me think that the vehicle did not detect it and therefore will not stop.",1,1,75,20,2,,31,4,,10
2/9/24 14:50,2/9/24 14:54,0,100,257,1,2/9/24 14:54,R_7LjO3RWcD6A3N7S,anonymous,EN,1,1,2,50,50,I am in the middle right now and am not sure of which way to go,,,,1,1,27,26,2,,35,4,,13
2/9/24 14:49,2/9/24 14:54,0,100,298,1,2/9/24 14:54,R_1dGMn9lKhMRKWmd,anonymous,EN,1,1,2,,,,11,15,I chose what I did based on the fact there is no box around the person on the left,1,1,74,69,2,,60,2,,14
2/9/24 14:52,2/9/24 14:54,0,100,111,1,2/9/24 14:54,R_60r5D273E86g8rk,anonymous,EN,1,1,2,28,56,I dont fully trust the judgement of a machine. A person can better pick up the nuances of a person,,,,1,2,60,29,1,,33,3,,13
2/9/24 14:52,2/9/24 14:54,0,100,127,1,2/9/24 14:54,R_6KJE1EMNR3gXPVl,anonymous,EN,1,1,2,49,94,"I don’t know the details about such software, and No need to guess.",,,,1,2,55,73,1,,56,4,,10
2/9/24 14:49,2/9/24 14:54,0,100,294,1,2/9/24 14:54,R_5ieZmusbv7ihbDt,anonymous,EN,1,1,2,10,60,I feel that the autonomous vehicle will act as if the person might cross the street. I don't believe the vehicle has the ability to detect if a person is going to cross or not. What is more concerning is the vehicle is not detecting the person on the left.  ,,,,1,2,100,80,2,,50,4,,10
2/9/24 14:49,2/9/24 14:54,0,100,271,1,2/9/24 14:54,R_3QKEI93RSWZiG3v,anonymous,EN,1,1,2,,,,0,0,It has not identified him as a person. He does not have a yellow rectangle box around him like the other people.,1,1,61,67,2,,62,3,,14
2/9/24 14:49,2/9/24 14:54,0,100,274,1,2/9/24 14:54,R_7APyqMAP8vUdQFb,anonymous,EN,1,1,2,100,100,The person on the right is facing away from the street.,,,,1,2,58,58,2,,59,4,,11
2/9/24 14:51,2/9/24 14:54,0,100,172,1,2/9/24 14:54,R_6hToNmkkkj2TuBZ,anonymous,EN,1,1,2,70,70,My answer is based off of what I can observe from the photo and it seems the autonomous vehicle acknowledges there's a person but also that they aren't on the cross-walk,,,,1,2,70,64,2,,29,4,,12
2/9/24 14:51,2/9/24 14:54,0,100,202,1,2/9/24 14:54,R_6kTuTf33lvTyoO8,anonymous,EN,1,1,2,69,71,The person has a box around them so they have been identified. I think the car can tell they are not going to cross because of the direction they are facing.,,,,1,2,50,51,2,,39,2,,12
2/9/24 14:50,2/9/24 14:54,0,100,247,1,2/9/24 14:54,R_3kmQyFnBloqF1t5,anonymous,EN,1,1,2,50,100,The AI detected the guy on the right side so he has a rectangular box. That guy isn't guaranteed to NOT cross the road though so you always have to be alert for sudden movements or decisions. The guy on the left was not detected by the AI so the car will probably run him over if that guy crosses and the car decides to move.,,,,1,2,100,70,1,,41,4,,14
2/9/24 14:52,2/9/24 14:54,0,100,115,1,2/9/24 14:54,R_6fwE7Mog4Fs8dae,anonymous,EN,1,1,2,73,79,"The pedestian on th right, appears to be standing still, adn not intending to cross the road.  However, people sometimes do things unexpectedly, so I can't say for certain that he will stay in place.",,,,1,2,26,10,1,,44,2,,13
2/9/24 14:49,2/9/24 14:54,0,100,319,1,2/9/24 14:54,R_6IBtMC4d4CXv2Fj,anonymous,EN,1,1,2,80,60,I think it's pretty likely that the AI will sense that the person doesn't want to cross the road because they're facing the wrong direction.  But I'm not completely sure whether the AI vehicle will act appropriately since I don't have enough experience with these types of cars.,,,,1,2,40,30,1,,45,4,,13
2/9/24 14:51,2/9/24 14:54,0,100,222,1,2/9/24 14:54,R_6EgcAh3TXpc3mi5,anonymous,EN,1,1,2,,,,92,91,"It can recognize cars, the crosswalk and edge of the street, so it should see pedestrian in crosswalk",1,1,80,0,2,,72,1,,13
2/9/24 14:50,2/9/24 14:54,0,100,247,1,2/9/24 14:54,R_3DhByQ0gMXCVqRZ,anonymous,EN,1,1,2,31,45,The car detected one person but not the other one which means its not truly clear,,,,1,2,90,62,2,,56,4,,12
2/9/24 14:52,2/9/24 14:54,0,100,119,1,2/9/24 14:54,R_1NEku8hqMfy0vw5,anonymous,EN,1,1,2,,,,0,0,"Since the pedestrian is not outlined in a box, I don't believe that the car can see him. Additionally, it doesn't seem as though it understands that someone is moving, especially if it doesn't see him. ",1,1,8,0,2,,34,4,,11
2/9/24 14:52,2/9/24 14:54,0,100,150,1,2/9/24 14:54,R_6DQ8MUn4uJQVtbb,anonymous,EN,1,1,2,0,90,The system is unable to predict intentions. It has already missed a person walking.,,,,1,2,70,70,1,,34,4,,11
2/9/24 14:52,2/9/24 14:54,0,100,137,1,2/9/24 14:54,R_55RRAMzQKPZMGuK,anonymous,EN,1,1,2,84,78,I believe that the AI can recognize that the person is a person and that they are on the edge of the street. Since they are on the edge of the street and with their back to the street the vehicle can recognize that it does not intend to cross the road.,,,,1,2,81,81,1,,29,3,,13
2/9/24 14:51,2/9/24 14:55,0,100,199,1,2/9/24 14:55,R_5ZQ7Bo9HBwPRcNH,anonymous,EN,1,1,2,,,,10,10,AI fails to recognize pedestrians at crosswalks because he is not marked in a box,1,1,20,10,1,,28,4,,13
2/9/24 14:52,2/9/24 14:55,0,100,151,1,2/9/24 14:55,R_3K2YWJKFOYnovpy,anonymous,EN,1,1,2,,,,0,0,The pedestrian on the left is not identified by the autonomous vehicle.,1,1,70,0,2,,65,6,,14
2/9/24 14:53,2/9/24 14:55,0,100,119,1,2/9/24 14:55,R_5YgjSABYuwYiQkF,anonymous,EN,1,1,2,87,95,"I feel that since it recognizes the person as a person, it will behave appropriately, but I don't believe that it is sensitive enough to accurately predict future movements of a person. ",,,,1,2,90,88,2,,38,4,,11
2/9/24 14:52,2/9/24 14:55,0,100,149,1,2/9/24 14:55,R_3zBZHk82Dqic5n7,anonymous,EN,1,1,2,65,65,I feel it can tell by position of the person they are unlikely to change directions and walk into the road so I feel it has a good idea but it has not been tested enough to know for sure. ,,,,1,2,56,40,1,,39,4,,13
2/9/24 14:50,2/9/24 14:55,0,100,296,1,2/9/24 14:55,R_7UblksM5JxjYmQK,anonymous,EN,1,1,2,80,65,The vehicle has identified the person on the right so I expect that it will try to avoid them.,,,,1,2,73,53,1,,29,4,,10
2/9/24 14:50,2/9/24 14:55,0,100,302,1,2/9/24 14:55,R_7jIhGDcXqspJDDL,anonymous,EN,1,1,2,,,,10,20,"The pedestrian does not have a bounding box and is not labeled as a person by the AI in the screen shot. In this screenshot, the AI has not recognized the person on the left side of the screen. It has detected the person standing by the vehicle on the right side. Therefore, I have my doubts that the software will interact with pedestrian correctly.",1,1,75,70,2,,45,4,,13
2/9/24 14:52,2/9/24 14:55,0,100,165,1,2/9/24 14:55,R_624KGC0CMBZoWvb,anonymous,EN,1,1,2,100,100,"The person or people on the right side of the road are facing the edge of the road, indicating they are not about to cross.",,,,1,2,75,60,1,,40,3,,14
2/9/24 14:54,2/9/24 14:55,0,100,82,1,2/9/24 14:55,R_60U81pQH3msEEUN,anonymous,EN,1,1,2,,,,81,82,It would reason since they have identified everything correctly.,1,1,51,51,1,,34,4,,12
2/9/24 14:53,2/9/24 14:55,0,100,97,1,2/9/24 14:55,R_6LHBzdZT8NObQuk,anonymous,EN,1,1,2,100,100,It’s all drawn out so it’s not that hard to understand and see the pedestrian.,,,,1,2,100,100,2,,37,2,,10
2/9/24 14:54,2/9/24 14:55,0,100,73,1,2/9/24 14:55,R_52hZyiv8YP4iPTI,anonymous,EN,1,1,2,,,,100,100,By looking at the image it looks the AI will be able to detect pedestrians,1,1,49,41,2,,36,4,,11
