"StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","consent_q","attn_1","attn_2","Present_Capability_1","Present_Trust_1","Present_Why","Absent_Capability_1","Absent_Trust_1","Absent_Why","comp_images","AI_Familiarity_1","Visual_Familiarity_1","gender","gender_5_TEXT","age","education","education_8_TEXT","income"
"2023-11-20 08:42:08","2023-11-20 08:44:28","0","100","139","1","2023-11-20 08:44:28","R_29fQRNERhh4jFKD","anonymous","EN","1","1","2","","","","70","62","yes, this answer I think satisfied a self-driving car can recognize from its front-facing camera for the answer","1","65","81","1","","40","5","","9"
"2023-11-20 08:42:07","2023-11-20 08:45:15","0","100","188","1","2023-11-20 08:45:15","R_2at0L2AazQL2H3J","anonymous","EN","1","1","2","75","70","I think the autonomous vehicle is programed a certain way and the person is not facing the street; however, people are fickle and the person may turn quickly to cross. ","","","","1","43","20","2","","57","4","","11"
"2023-11-20 08:42:14","2023-11-20 08:45:42","0","100","208","1","2023-11-20 08:45:42","R_3PZU2nad3AegkzZ","anonymous","EN","1","1","2","73","68","The ability to accurately detect and interpret pedestrian behavior is crucial for ensuring the safety of autonomous vehicles. Given the demonstrated capability of the AI software in identifying the pedestrian and assessing their intent, I am confident that the autonomous vehicle will behave appropriately, such as slowing down or yielding if necessary.","","","","1","81","67","1","","36","4","","12"
"2023-11-20 08:48:16","2023-11-20 08:50:31","0","100","134","1","2023-11-20 08:50:31","R_12zixreqo4E8QIF","anonymous","EN","1","1","2","","","","0","50","it can tell what anyone intended to do, i would need to know more about it to say if it would handle them well","1","59","50","1","","63","4","","12"
"2023-11-20 08:36:06","2023-11-20 08:51:19","0","100","912","1","2023-11-20 08:51:19","R_2BezaX9NsJSOGQm","anonymous","EN","1","1","2","35","15","The pedestrian is near the street, so it would probably assume that they are crossing. It can't be sure how to react in such a scenario because of the variables.","","","","1","80","50","1","","36","4","","16"
"2023-11-20 08:50:49","2023-11-20 08:52:24","0","100","94","1","2023-11-20 08:52:25","R_1DSWWHvA8OtuEmU","anonymous","EN","1","1","2","78","66","I believe, based on the photo shown that I would trust the car to be able to identify a pedestrian but not 100% trust","","","","1","76","61","1","","35","4","","10"
"2023-11-20 08:50:54","2023-11-20 08:56:35","0","100","340","1","2023-11-20 08:56:36","R_2qshqdsDGJxcJLG","anonymous","EN","1","1","2","","","","18","81","I believe at crosswalks its been trained to follow the orders of letting persons cross","1","92","92","2","","25","4","","12"
"2023-11-20 08:54:29","2023-11-20 08:57:52","0","100","202","1","2023-11-20 08:57:52","R_2Pnkl3ikzwTj9Lp","anonymous","EN","1","1","2","","","","0","40","Given there is a crosswalk and the person appears to be on or near the edge of the street, I think it would be reasonable for the car to assume that the pedestrian does intend to cross the street. And for the safety of the pedestrian, it should. But that coould also cause issues with any cars behind the self driving car if the self driving car stops or doesn't move forward.","1","15","0","2","","40","2","","14"
"2023-11-20 08:59:26","2023-11-20 09:01:52","0","100","145","1","2023-11-20 09:01:53","R_b1PadapfWG82sVj","anonymous","EN","1","1","2","","","","16","30","It's to simple and not complex enough, not that corpos care they just want to fire drivers and replace them with AI trucks to save money. whats the point ofthis.","1","88","90","1","","40","4","","13"
"2023-11-20 09:04:34","2023-11-20 09:07:55","0","100","201","1","2023-11-20 09:07:56","R_3n0m19rFn79uCdT","anonymous","EN","1","1","2","72","71","He can see he is not looking up but I am not sure if it would have enough time if the person moved suddenly.","","","","1","74","51","2","","55","3","","14"
"2023-11-20 09:05:54","2023-11-20 09:08:50","0","100","175","1","2023-11-20 09:08:51","R_3kq6KjIg6wmbNyi","anonymous","EN","1","1","2","70","70","I think generally the autonomous vehicle is safe but like with anything else there is a chance for error.","","","","1","60","30","1","","30","1","","12"
"2023-11-20 09:06:59","2023-11-20 09:09:06","0","100","126","1","2023-11-20 09:09:07","R_1hGOkCD0l6lBda8","anonymous","EN","1","1","2","","","","30","55","I don't really think the car can predict the intention of the person, but I think it can react to the person's movement.","1","65","26","2","","46","5","","12"
"2023-11-20 09:06:53","2023-11-20 09:09:22","0","100","148","1","2023-11-20 09:09:23","R_21jRAIv7sElsada","anonymous","EN","1","1","2","73","70","The AI can see the person, and it the person were walking toward the car, I feel confident that the car would detect this and stop. ","","","","1","73","69","1","","31","5","","11"
"2023-11-20 09:06:49","2023-11-20 09:10:53","0","100","244","1","2023-11-20 09:10:54","R_1HbF0mvBneXfiPf","anonymous","EN","1","1","2","","","","10","72","The not knowing what a person will do makes it hard for a real person much less an autonomous vehicle to know what they will actually do. So it would be hard to trust they would make the best decision.","1","53","52","2","","50","4","","11"
"2023-11-20 09:08:12","2023-11-20 09:11:50","0","100","217","1","2023-11-20 09:11:50","R_2wib4ujpXtUvlfh","anonymous","EN","1","1","2","","","","90","1","I just personally would not trust it. There are too many variable to every situation and things can change quickly.","1","71","51","1","","48","3","","13"
"2023-11-20 09:08:47","2023-11-20 09:13:41","0","100","293","1","2023-11-20 09:13:42","R_1et2dYiu2TRHwAB","anonymous","EN","1","1","2","40","50","I have a fuller, more nuanced view of the pedestrian than AI can have, and I can't be sure the pedestrian does not want to cross the street. My strategy, therefore is to assume he might and then be on extra guard. AI cannot, at present, situate itself thus, so I am unsure it will behave well in this setting. ","","","","1","40","60","1","","52","6","","14"
"2023-11-20 09:07:24","2023-11-20 09:14:53","0","100","448","1","2023-11-20 09:14:54","R_3D2vKaWEtunMwEb","anonymous","EN","1","1","2","25","25","I don't think you can predict human action such as this. I believe the car should always consider the possibility of a pedestrian crossing the road, especially one so close to the crosswalk.","","","","1","85","35","1","","40","4","","11"
"2023-11-20 09:11:48","2023-11-20 09:15:00","0","100","192","1","2023-11-20 09:15:01","R_1FEP2TsCIktH3Gw","anonymous","EN","1","1","2","","","","19","50","I Think that there is a chance the car will stop for the pedestrian anyway","1","65","20","1","","29","4","","11"
"2023-11-20 09:13:55","2023-11-20 09:15:03","0","100","68","1","2023-11-20 09:15:04","R_2E00czfVIgKWLho","anonymous","EN","1","1","2","","","","21","20","There's no info on which way the pedestrian is facing so it's a coin flip and ai are terrible at those.","1","50","34","2","","31","3","","15"
"2023-11-20 09:14:21","2023-11-20 09:16:27","0","100","125","1","2023-11-20 09:16:27","R_25Nkc0K3LHrvEkM","anonymous","EN","1","1","2","81","5","It may have gotten this one right, but I don't have confidence that it can deal with every situation.","","","","1","23","9","2","","34","4","","12"
"2023-11-20 09:16:10","2023-11-20 09:18:15","0","100","125","1","2023-11-20 09:18:16","R_2VQswosHru0dUkc","anonymous","EN","1","1","2","","","","0","0","I don't trust automated machines like cars, which are one of the most dangerous types. Machines can in no way understand human behavior.","1","7","0","1","","30","3","","16"
"2023-11-20 09:16:20","2023-11-20 09:18:37","0","100","136","1","2023-11-20 09:18:38","R_3n78FrPgwTNNynz","anonymous","EN","1","1","2","10","29","The AI cannot read human minds. It works on a certain set of data it was told. It just sees the pedestrian. It doesn't know what that person will do ","","","","1","30","0","1","","46","1","","14"
"2023-11-20 09:20:06","2023-11-20 09:22:14","0","100","128","1","2023-11-20 09:22:15","R_3kk7cNAN8Fk5CTw","anonymous","EN","1","1","2","","","","36","63","I do not think it can take human intention into account but I think it will drive with caution when pedestrians are near.","1","76","25","1","","46","5","","13"
"2023-11-20 09:19:25","2023-11-20 09:23:24","0","100","238","1","2023-11-20 09:23:24","R_2qksSqeUi5Prfu3","anonymous","EN","1","1","2","92","98","THE MAN IN THE IMAGE IS LOOKING DOWN AT HIS PHONE OR PAPER IN HIS HAND. HE IS FACING THE SIDEWALK.","","","","1","74","5","2","","70","3","","12"
"2023-11-20 09:20:28","2023-11-20 09:28:05","0","100","456","1","2023-11-20 09:28:06","R_11gUsJDfVSxX8ls","anonymous","EN","1","1","2","","","","28","61","I think it would be difficult for the algorithm to predict human behavior but I think it would be programmed to react appropriately. ","1","65","20","2","","42","4","","12"
"2023-11-20 09:30:42","2023-11-20 09:32:59","0","100","137","1","2023-11-20 09:33:00","R_3KObe5g45iG4aIO","anonymous","EN","1","1","2","30","50","I feel like it sees that the person is close to the edge of the edge of the street, but I'm not sure if it will think that the person is approaching the sidewalk or if it is about to cross the street.","","","","1","30","10","2","","39","4","","13"
"2023-11-20 09:37:12","2023-11-20 09:41:21","0","100","249","1","2023-11-20 09:41:22","R_1KlsvhGTqEUCyos","anonymous","EN","1","1","2","","","","34","60","It should be able to identify an individual thats not crossing the road but its hard to say if it could","1","64","31","2","","38","4","","13"
"2023-11-20 10:07:18","2023-11-20 10:08:30","0","100","71","1","2023-11-20 10:08:30","R_2TXIuW9b6OXTM6y","anonymous","EN","1","1","2","8","23","The pedestrian is right next to a crosswalk so I think the car will think he intends to cross the road.","","","","1","78","65","2","","34","5","","11"
"2023-11-20 10:21:20","2023-11-20 10:21:36","0","100","15","1","2023-11-20 10:21:36","R_RJqkSfMnRWDuIs9","anonymous","EN","1","1","1","","","","","","","","","","","","","","",""
"2023-11-20 10:20:01","2023-11-20 10:22:03","0","100","122","1","2023-11-20 10:22:04","R_d0ZMjBjiLQQwALf","anonymous","EN","1","1","2","62","58","Because I think there could be some safety hazards. ","","","","1","17","30","2","","37","1","","14"
"2023-11-20 10:20:33","2023-11-20 10:22:34","0","100","120","1","2023-11-20 10:22:34","R_1mydrCOONHtIG65","anonymous","EN","1","1","2","70","82","I think the vehicle has a sense that the pedestrian is just standing to the side in a different angle then wanting to cross the street.","","","","1","67","12","1","","36","5","","12"
"2023-11-20 10:21:22","2023-11-20 10:22:48","0","100","86","1","2023-11-20 10:22:49","R_1DUXu0cXYDBuymO","anonymous","EN","1","1","2","","","","50","17","i do not trust ai at all. it is only as good as the person who programs it","1","52","20","1","","45","1","","13"
"2023-11-20 10:21:18","2023-11-20 10:23:00","0","100","101","1","2023-11-20 10:23:00","R_1mI72K7Ac9Yt9Om","anonymous","EN","1","1","2","","","","0","21","You can't know for sure whether the person is going to cross or not unless they turn down the other side of the street and walk away from the car. The car may not believe the person isn't going to cross and the car just sits there. ","1","90","73","2","","25","4","","10"
"2023-11-20 10:20:41","2023-11-20 10:23:06","0","100","144","1","2023-11-20 10:23:06","R_viu4aOGtWMDGJzP","anonymous","EN","1","1","2","40","29","I think that it can detect the people there but I don't think it can tell when someone is about to change the way they're walking or if a kid runs out into the road that it would be able to detect them fast enough to stop. ","","","","1","68","53","2","","33","1","","14"
"2023-11-20 10:21:28","2023-11-20 10:23:14","0","100","106","1","2023-11-20 10:23:14","R_3q7nt5RM9mpjK3A","anonymous","EN","1","1","2","62","60","It is good at identifying what objects are and how to avoid them.","","","","1","60","49","2","","27","1","","14"
"2023-11-20 10:20:18","2023-11-20 10:23:24","0","100","186","1","2023-11-20 10:23:25","R_2D80Y033CpMQ6Xp","anonymous","EN","1","1","2","","","","0","56","I feel like since it is programmed, some occurrences may not be planned so it may not detect unique occurrences.","1","91","81","2","","56","4","","12"
"2023-11-20 10:21:31","2023-11-20 10:23:25","0","100","113","1","2023-11-20 10:23:26","R_RkRYWuPdIR9up6F","anonymous","EN","1","1","2","","","","10","24","machines can't predict human intention, people can change their mind suddenly","1","77","67","1","","30","3","","12"
"2023-11-20 10:20:42","2023-11-20 10:23:31","0","100","168","1","2023-11-20 10:23:31","R_1BQ3n9txfwW2Nt9","anonymous","EN","1","1","2","76","70","The person was not facing to cross the street in front of the autonomous car.","","","","1","70","30","2","","65","5","","11"
"2023-11-20 10:23:07","2023-11-20 10:23:37","0","100","29","1","2023-11-20 10:23:37","R_1g6B5f2axyL7RHw","anonymous","EN","1","1","1","","","","","","","","","","","","","","",""
"2023-11-20 10:21:16","2023-11-20 10:23:52","0","100","155","1","2023-11-20 10:23:53","R_31uXdxYu2sKqtZn","anonymous","EN","1","1","2","","","","58","55","I think good software should be able to recognize how closely the pedestrian is to the edge of the street (basically inside the crosswalk) and will behave accordingly to avoid danger.","1","1","0","1","","","5","","12"
"2023-11-20 10:20:24","2023-11-20 10:24:07","0","100","222","1","2023-11-20 10:24:07","R_1MLrELHhquBgqOU","anonymous","EN","1","1","2","","","","0","30","The A.I. might think the person is on the sidewalk and not react quick enough to the person running into the street.","1","50","50","1","","33","4","","14"
"2023-11-20 10:22:37","2023-11-20 10:24:26","0","100","109","1","2023-11-20 10:24:27","R_1ilHlGYnNlAkg7G","anonymous","EN","1","1","2","","","","16","34","i dont think ai can determine a person's actions based on limited information","1","75","32","1","","42","2","","13"
"2023-11-20 10:20:45","2023-11-20 10:24:27","0","100","221","1","2023-11-20 10:24:28","R_3il5tbtRP7OMYTe","anonymous","EN","1","1","2","","","","29","71","It is hard for any vehicle to judge the intent of a pedestrian but since this person is at the edge of a cross walk i assume it would be very cautious.","1","50","16","1","","53","4","","8"
"2023-11-20 10:21:57","2023-11-20 10:24:34","0","100","157","1","2023-11-20 10:24:35","R_2VsgtBoqBAa3tqe","anonymous","EN","1","1","2","96","97","I think it can see that the pedestrian is facing the other way so it will predict that the person is not crossing.","","","","1","72","39","2","","50","1","","10"
"2023-11-20 10:21:44","2023-11-20 10:24:37","0","100","172","1","2023-11-20 10:24:37","R_21yWy7esK2tD4P6","anonymous","EN","1","1","2","80","69","I feel that the car has a pretty good description of the whole street view. The person is not positioned in a way that it looks like they are going to cross the street. ","","","","1","29","27","2","","45","5","","10"
"2023-11-20 10:21:45","2023-11-20 10:24:42","0","100","177","1","2023-11-20 10:24:43","R_242waIppg8LILgo","anonymous","EN","1","1","2","75","80","I think that the car can recognize that the pedestrian is turned the wrong way for crossing the road and will proceed.","","","","1","10","0","1","","53","5","","11"
"2023-11-20 10:20:37","2023-11-20 10:24:57","0","100","260","1","2023-11-20 10:24:57","R_1Qtq3A1DvbNcGO4","anonymous","EN","1","1","2","24","72","I'm not sure the car can understand which direction the person is facing, which influences whether the person would be expected to cross the street. However, I have some confidence that the car would be programed to take precautions around people so I would think it had a decent chance of acting appropriately.","","","","1","30","30","2","","46","5","","10"
"2023-11-20 10:21:53","2023-11-20 10:24:58","0","100","184","1","2023-11-20 10:24:58","R_3no2e4QVyADhzKv","anonymous","EN","1","1","2","93","100","The pedastrian is facing the other side of street.","","","","1","87","88","2","","39","4","","10"
"2023-11-20 10:23:01","2023-11-20 10:25:11","0","100","129","1","2023-11-20 10:25:11","R_2yq4prxTbqLR9VT","anonymous","EN","1","1","2","","","","8","6","It only views things as objects, not dynamic living things that can change their mind.","1","73","49","1","","45","5","","10"
"2023-11-20 10:23:11","2023-11-20 10:25:12","0","100","120","1","2023-11-20 10:25:12","R_12f44l4SLdgHpLB","anonymous","EN","1","1","2","","","","29","44","I think the person looks like they're trying to cross.  I don't think the car will recognize this.","1","35","15","1","","39","3","","12"
"2023-11-20 10:23:15","2023-11-20 10:25:18","0","100","123","1","2023-11-20 10:25:19","R_RWib4VT1ObaLGkV","anonymous","EN","1","1","2","98","72","I do feel AI is promising so that was the reason for my answers.","","","","2","58","58","2","","","4","","12"
"2023-11-20 10:22:29","2023-11-20 10:25:19","0","100","170","1","2023-11-20 10:25:20","R_2wQVzN1GUIKEVxJ","anonymous","EN","1","1","2","100","100","The yellow box around the person signals that they do not intend to cross the street.","","","","1","100","25","1","","30","1","","12"
"2023-11-20 10:23:01","2023-11-20 10:25:22","0","100","141","1","2023-11-20 10:25:23","R_1iffxaWMOaIu0QQ","anonymous","EN","1","1","2","40","50","I think it can't tell whether the person wants to cross or not which could be dangerous because if the person moves a little the car may come to an abrupt stop even though in my mind it's pretty clear the person does not want to cross and is instead meandering in the road, but any sudden movement could throw the car off because of how close the person is.","","","","1","100","60","1","","31","3","","11"
"2023-11-20 10:22:52","2023-11-20 10:25:26","0","100","154","1","2023-11-20 10:25:27","R_1r6YEwZi38xp0Gc","anonymous","EN","1","1","2","","","","0","0","It looks like the person is in the crosswalk so the AI should stop. I wouldn't trust it to though.","1","71","71","2","","44","5","","13"
"2023-11-20 10:22:35","2023-11-20 10:25:32","0","100","176","1","2023-11-20 10:25:32","R_Av88HtzUZftc52x","anonymous","EN","1","1","2","","","","10","91","Here's the thing. As a person we wouldn't know if they intended to cross the road, either. People are stupid and do stupid things and cause accidents, whether the driver is human or AI.","1","83","61","1","","49","2","","14"
"2023-11-20 10:24:07","2023-11-20 10:25:39","0","100","91","1","2023-11-20 10:25:39","R_2BnUiHv2aXzcOff","anonymous","EN","1","1","2","78","78","I think the AI will understand that the person is off to the side and not looking forward like he is about to cross.","","","","1","54","42","1","","31","4","","14"
"2023-11-20 10:22:29","2023-11-20 10:25:40","0","100","191","1","2023-11-20 10:25:41","R_3HSVV8o0wzaanSh","anonymous","EN","1","1","2","78","72","These cars are designed to detect people and objects. ","","","","1","8","14","2","","67","4","","15"
"2023-11-20 10:21:12","2023-11-20 10:25:45","0","100","272","1","2023-11-20 10:25:45","R_vxGuLDkKanQTxZf","anonymous","EN","1","1","2","14","71","I do not think this AI can correctly predict a human crossing the street unexpectedly. ","","","","1","29","16","1","","28","1","","14"
"2023-11-20 10:24:06","2023-11-20 10:25:58","0","100","111","1","2023-11-20 10:25:59","R_3RpYy0HyQiYgdmH","anonymous","EN","1","1","2","","","","0","0","I have been in situations where there is a self driving car and I am the pedestrian like the one in the image and these cars never know what to do (we have Cruise cars in my city) ","1","50","40","2","","19","4","","12"
"2023-11-20 10:22:01","2023-11-20 10:26:09","0","100","247","1","2023-11-20 10:26:09","R_2tmLaaUfc70GxEL","anonymous","EN","1","1","2","","","","70","65","To me its hard to tell if the pedestrian wants to cross the street, I think it would also be hard for AI too.","1","75","5","2","","52","3","","14"
"2023-11-20 10:23:58","2023-11-20 10:26:26","0","100","147","1","2023-11-20 10:26:26","R_BsQIdNLHZRBSvu1","anonymous","EN","1","1","2","","","","81","72","It appears to be aware that the person is at the edge of the street","1","90","76","2","","42","4","","12"
"2023-11-20 10:21:52","2023-11-20 10:26:37","0","100","285","1","2023-11-20 10:26:38","R_2WujDqxlfG2nlc7","anonymous","EN","1","1","2","","","","30","71","the pedestrian appears to be just on the street so their crossing is possible","1","50","1","1","","63","4","","14"
"2023-11-20 10:23:03","2023-11-20 10:26:40","0","100","217","1","2023-11-20 10:26:41","R_RJ5hEzzouYKsEg1","anonymous","EN","1","1","2","77","70","The image is clear and correctly identified with a caution yellow around it","","","","1","67","66","1","","49","5","","10"
