StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,ic,att_1,att_2,Present_Auto_10,Present_HandsOff_10,Present_Watch_10,Present_Nap_10,Faded_Auto_10,Faded_HandsOff_10,Faded_Watch_10,Faded_Nap_10,AI_Familiarity_1,Visual_Familiarity_1,license,gender,gender_4_TEXT,age,education,education_8_TEXT,income,workerID,hitID,assignmentId,Present_TimeVehicleStopped,Faded_TimeVehicleStopped
6/17/24 7:53,6/17/24 7:55,0,100,131,1,6/17/24 7:55,R_3Jaz6LoS7Pw1lPl,anonymous,EN,1,2,2,10,10,0,0,,,,,50,20,1,1,,28,4,,13,,,,9.53,
6/17/24 7:54,6/17/24 7:56,0,100,109,1,6/17/24 7:56,R_6t0c5RTJY3Ejycm,anonymous,EN,1,2,2,82,90,62,20,,,,,61,14,1,1,,36,5,,10,,,,17.78,
6/17/24 7:54,6/17/24 7:56,0,100,153,1,6/17/24 7:56,R_10v3hljWkcFyxzt,anonymous,EN,1,2,2,,,,,40,30,19,14,32,52,1,1,,38,7,,10,,,,9.29,
6/17/24 7:55,6/17/24 7:57,0,100,116,1,6/17/24 7:57,R_7TFwefcW2UfhUVh,anonymous,EN,1,2,2,,,,,65,70,5,0,71,8,1,1,,31,4,,11,,,,19.32,
6/17/24 7:54,6/17/24 7:57,0,100,167,1,6/17/24 7:57,R_1Hk2IH3sJE8yGsA,anonymous,EN,1,2,2,,,,,0,0,0,0,70,70,1,2,,33,3,,12,,,,7.79,
6/17/24 7:55,6/17/24 7:57,0,100,174,1,6/17/24 7:57,R_3ilBNvExjJqC1qN,anonymous,EN,1,2,2,,,,,17,19,19,0,77,9,1,1,,35,5,,13,,,,17.52,
6/17/24 7:55,6/17/24 7:58,0,100,155,1,6/17/24 7:58,R_71iFY5YPGTOJdee,anonymous,EN,1,2,2,71,90,62,8,,,,,72,37,1,1,,39,4,,10,,,,17.69,
6/17/24 7:55,6/17/24 7:58,0,100,201,1,6/17/24 7:58,R_79spVQXn8GV3wqr,anonymous,EN,1,2,2,0,0,0,0,,,,,40,0,1,1,,60,3,,15,,,,17.6,
6/17/24 7:55,6/17/24 7:58,0,100,171,1,6/17/24 7:58,R_6QgIItkVf02kQz8,anonymous,EN,1,2,2,,,,,63,25,58,71,74,90,2,1,,19,1,,15,,,,4.11,
6/17/24 7:57,6/17/24 7:58,0,100,118,1,6/17/24 7:59,R_50vE9ylMldidmCu,anonymous,EN,1,2,2,20,0,10,10,,,,,90,70,2,2,,26,4,,14,,,,10.15,
6/17/24 7:55,6/17/24 7:59,0,100,203,1,6/17/24 7:59,R_5ZKw6oJaVw47UVZ,anonymous,EN,1,2,2,,,,,62,75,39,29,41,61,1,2,,27,5,,12,,,,17.74,
6/17/24 7:57,6/17/24 7:59,0,100,117,1,6/17/24 7:59,R_6cYBCJwJxtrJavp,anonymous,EN,1,2,2,35,31,18,21,,,,,62,34,1,2,,37,5,,12,,,,10.18,
6/17/24 7:57,6/17/24 7:59,0,100,135,1,6/17/24 7:59,R_6mespYXPs67H6vZ,anonymous,EN,1,2,2,,,,,0,10,0,0,30,5,1,1,,42,4,,13,,,,7.28,
6/17/24 7:58,6/17/24 7:59,0,100,59,1,6/17/24 7:59,R_5ihnJyiSQByXMd3,anonymous,EN,1,2,2,26,70,35,71,,,,,84,27,1,2,,31,4,,9,,,,0.97,
6/17/24 7:58,6/17/24 7:59,0,100,98,1,6/17/24 7:59,R_6q7DrvzXAbkFw7r,anonymous,EN,1,2,2,70,60,50,50,,,,,60,60,2,2,,28,4,,14,,,,18.08,
6/17/24 7:56,6/17/24 8:00,0,100,216,1,6/17/24 8:00,R_3KNu9nMlC4nr4dv,anonymous,EN,1,2,2,,,,,9,9,0,0,14,4,1,2,,58,2,,14,,,,9.09,
6/17/24 7:57,6/17/24 8:00,0,100,173,1,6/17/24 8:00,R_3OxyEPwW7Hzz8V7,anonymous,EN,1,2,2,70,35,60,0,,,,,90,70,2,4,Non-binary,21,1,,14,,,,17.66,
6/17/24 7:56,6/17/24 8:00,0,100,236,1,6/17/24 8:00,R_6bKaaxyU3EFnKcJ,anonymous,EN,1,2,2,67,50,38,26,,,,,9,9,1,2,,62,5,,12,,,,18.06,
6/17/24 7:57,6/17/24 8:00,0,100,149,1,6/17/24 8:00,R_7olgsRfjfhwluQ9,anonymous,EN,1,2,2,,,,,20,10,10,0,67,21,1,2,,28,2,,13,,,,9.46,
6/17/24 7:54,6/17/24 8:00,0,100,352,1,6/17/24 8:00,R_63W8N0ftrLQtO7H,anonymous,EN,1,2,2,70,0,0,0,,,,,85,75,1,1,,64,2,,11,,,,9.12,
6/17/24 7:56,6/17/24 8:00,0,100,207,1,6/17/24 8:00,R_6qkETss7o52IHwD,anonymous,EN,1,2,2,,,,,65,54,29,0,81,70,1,2,,29,4,,12,,,,17.4,
6/17/24 7:56,6/17/24 8:00,0,100,231,1,6/17/24 8:00,R_72Piw5lSMLdcN0x,anonymous,EN,1,2,2,65,61,40,40,,,,,75,15,2,2,,25,2,,13,,,,16.94,
6/17/24 7:58,6/17/24 8:00,0,100,122,1,6/17/24 8:00,R_3FDrKOWXbbYtXnD,anonymous,EN,1,2,2,,,,,50,35,65,10,80,50,1,2,,31,4,,13,,,,17.2,
6/17/24 7:57,6/17/24 8:00,0,100,212,1,6/17/24 8:00,R_3jW7kyytdIaRIzL,anonymous,EN,1,2,1,,,,,88,91,86,79,61,20,1,1,,32,7,,11,,,,19.32,
6/17/24 7:56,6/17/24 8:00,0,100,265,1,6/17/24 8:00,R_3duf3wI91ux986p,anonymous,EN,1,2,2,20,30,0,0,,,,,70,50,1,2,,62,4,,11,,,,8.78,
6/17/24 7:59,6/17/24 8:00,0,100,77,1,6/17/24 8:00,R_3duH9o7fuqaXhQX,anonymous,EN,1,2,2,68,86,70,85,,,,,14,23,1,2,,25,4,,10,,,,12.06,
6/17/24 7:58,6/17/24 8:01,0,100,165,1,6/17/24 8:01,R_6vKnBzbBbjoUHy9,anonymous,EN,1,2,2,,,,,6,10,1,0,86,3,1,2,,34,4,,9,,,,6.5,
6/17/24 7:59,6/17/24 8:01,0,100,112,1,6/17/24 8:01,R_5SqN2t1RykqMHgV,anonymous,EN,1,2,2,,,,,38,43,30,30,60,25,1,2,,25,4,,12,,,,14.23,
6/17/24 7:59,6/17/24 8:01,0,100,121,1,6/17/24 8:01,R_7TTqmj1AMGyhtXt,anonymous,EN,1,2,2,91,20,17,7,,,,,81,60,1,1,,22,3,,14,,,,17.88,
6/17/24 7:59,6/17/24 8:01,0,100,95,1,6/17/24 8:01,R_6QVOJQBYhy4wsM4,anonymous,EN,1,2,2,73,70,31,25,,,,,65,49,1,1,,24,4,,11,,,,16.79,
6/17/24 7:56,6/17/24 8:01,0,100,315,1,6/17/24 8:01,R_3gFLQsdMQfcoBij,anonymous,EN,1,2,2,,,,,0,20,10,0,20,1,1,2,,32,3,,10,,,,7.72,
6/17/24 8:00,6/17/24 8:01,0,100,94,1,6/17/24 8:01,R_6ey9kMse7OXRRKh,anonymous,EN,1,2,2,,,,,25,15,10,0,75,70,1,2,,33,3,,12,,,,18.21,
6/17/24 7:58,6/17/24 8:01,0,100,213,1,6/17/24 8:01,R_5ahaCXN4Cf8g53z,anonymous,EN,1,2,2,56,35,35,19,,,,,85,18,1,2,,31,4,,12,,,,19.17,
6/17/24 7:59,6/17/24 8:02,0,100,171,1,6/17/24 8:02,R_5EYCTsQ7PFK4OYR,anonymous,EN,1,2,2,5,75,60,0,,,,,90,5,1,2,,28,6,,11,,,,17.78,
6/17/24 7:58,6/17/24 8:02,0,100,204,1,6/17/24 8:02,R_61Fl1xqkQJHgrHo,anonymous,EN,1,2,2,,,,,0,0,0,0,89,29,1,2,,57,1,,15,,,,8.23,
6/17/24 7:57,6/17/24 8:02,0,100,272,1,6/17/24 8:02,R_5h5Cz5TCn133bbW,anonymous,EN,1,2,2,85,80,70,50,,,,,90,90,1,2,,30,5,,10,,,,17.09,
6/17/24 8:00,6/17/24 8:02,0,100,143,1,6/17/24 8:02,R_3v9d0HmvxxeZ1yp,anonymous,EN,1,2,1,,,,,62,30,30,4,62,30,1,1,,32,2,,11,,,,,
6/17/24 8:00,6/17/24 8:02,0,100,139,1,6/17/24 8:02,R_7k2Q2wl6T1pbaiR,anonymous,EN,1,2,2,,,,,97,97,0,0,99,57,1,2,,57,2,,12,,,,9.93,
6/17/24 7:59,6/17/24 8:02,0,100,166,1,6/17/24 8:02,R_3Myz35fOBHhXuoN,anonymous,EN,1,2,2,,,,,0,0,0,0,40,40,1,2,,35,4,,14,,,,8.25,
6/17/24 7:59,6/17/24 8:02,0,100,154,1,6/17/24 8:02,R_7dT80RA2ZqWdk2v,anonymous,EN,1,2,2,,,,,100,92,19,0,61,0,1,2,,54,1,,13,,,,18.33,
6/17/24 7:55,6/17/24 8:02,0,100,463,1,6/17/24 8:02,R_7KsidTmkQHdiu7W,anonymous,EN,1,2,2,53,82,70,12,,,,,40,21,1,1,,43,4,,11,,,,18.16,
6/17/24 8:00,6/17/24 8:02,0,100,131,1,6/17/24 8:02,R_11nXTGLAFIUx9nR,anonymous,EN,1,2,2,39,50,29,16,,,,,64,49,1,2,,31,4,,13,,,,8.64,
6/17/24 7:59,6/17/24 8:02,0,100,182,1,6/17/24 8:02,R_6qEpkBPuRhpqfyS,anonymous,EN,1,2,2,42,35,3,3,,,,,79,47,1,2,,28,3,,12,,,,17.15,
6/17/24 7:59,6/17/24 8:03,0,100,194,1,6/17/24 8:03,R_565vW0oO1lQ8ebf,anonymous,EN,1,2,2,10,60,60,0,,,,,68,52,1,1,,31,1,,12,,,,11.73,
6/17/24 8:00,6/17/24 8:03,0,100,165,1,6/17/24 8:03,R_3B4TCowtDAXmeHL,anonymous,EN,1,2,2,,,,,70,63,28,8,60,66,1,1,,25,4,,15,,,,12.13,
6/17/24 7:57,6/17/24 8:03,0,100,332,1,6/17/24 8:03,R_6UVlPEkrwQGjkM2,anonymous,EN,1,2,2,77,72,80,81,,,,,10,50,1,1,,31,4,,12,,,,19.3,
6/17/24 7:57,6/17/24 8:03,0,100,357,1,6/17/24 8:03,R_7om1nJGyIvtcnf3,anonymous,EN,1,2,2,,,,,80,18,9,0,82,68,2,2,,66,3,,13,,,,19.31,
6/17/24 8:00,6/17/24 8:03,0,100,193,1,6/17/24 8:03,R_5RxgpC8RlcBEBWP,anonymous,EN,1,2,2,,,,,10,10,0,0,95,30,1,1,,20,3,,13,,,,19.32,
6/17/24 8:02,6/17/24 8:03,0,100,66,1,6/17/24 8:03,R_7zpZTR1RQ7RxlMd,anonymous,EN,1,2,2,27,25,32,27,,,,,69,70,1,1,,27,4,,11,,,,17.13,
6/17/24 7:59,6/17/24 8:03,0,100,272,1,6/17/24 8:03,R_5ISJYmMzn2t4THs,anonymous,EN,1,2,2,69,85,75,73,,,,,49,71,2,1,,25,4,,10,,,,19.3,
6/17/24 8:01,6/17/24 8:04,0,100,177,1,6/17/24 8:04,R_5HbOUPdAa3nh7yN,anonymous,EN,1,2,2,88,90,20,0,,,,,85,78,1,1,,23,3,,13,,,,16.69,
6/17/24 8:01,6/17/24 8:04,0,100,187,1,6/17/24 8:04,R_64VK8lcWgRAFMTD,anonymous,EN,1,2,2,9,18,0,0,,,,,61,0,1,2,,43,3,,13,,,,9.05,
6/17/24 8:02,6/17/24 8:04,0,100,130,1,6/17/24 8:04,R_6fzQkwLfygembKh,anonymous,EN,1,2,2,,,,,15,25,35,0,85,20,1,1,,42,3,,10,,,,17.25,
6/17/24 8:03,6/17/24 8:05,0,100,140,1,6/17/24 8:05,R_7MKBAT9UBf6Ce74,anonymous,EN,1,2,2,30,30,30,0,,,,,60,30,1,1,,29,4,,13,,,,17.26,
6/17/24 8:03,6/17/24 8:05,0,100,139,1,6/17/24 8:05,R_3jZ1uGuQJnqvA7Y,anonymous,EN,1,2,2,,,,,70,75,35,20,70,75,1,2,,43,5,,12,,,,17.83,
6/17/24 8:02,6/17/24 8:05,0,100,173,1,6/17/24 8:05,R_3qaEbAnrFrtOFEe,anonymous,EN,1,2,2,77,80,81,50,,,,,76,76,1,1,,20,1,,12,,,,10.9,
6/17/24 8:01,6/17/24 8:05,0,100,237,1,6/17/24 8:05,R_6Io5VLUkXNdLHKF,anonymous,EN,1,2,2,,,,,46,51,81,29,84,71,1,1,,38,5,,12,,,,17.19,
6/17/24 8:02,6/17/24 8:05,0,100,225,1,6/17/24 8:05,R_6npEjSjRYUOmxYv,anonymous,EN,1,2,1,,,,,26,50,29,0,25,39,2,2,,71,3,,10,,,,16.61,
6/17/24 8:03,6/17/24 8:06,0,100,161,1,6/17/24 8:06,R_7r080Q5aQLtr0pT,anonymous,EN,1,2,2,0,0,0,0,,,,,90,66,1,4,Non binary,24,4,,12,,,,3.74,
6/17/24 8:01,6/17/24 8:06,0,100,254,1,6/17/24 8:06,R_3cznsU2ASQNDdlh,anonymous,EN,1,2,2,52,51,25,4,,,,,60,5,1,2,,44,2,,13,,,,3.83,
6/17/24 8:01,6/17/24 8:06,0,100,286,1,6/17/24 8:06,R_52EBImpSi9c5Nxe,anonymous,EN,1,2,2,,,,,26,66,43,40,41,68,2,1,,22,1,,14,,,,19.32,
6/17/24 8:03,6/17/24 8:06,0,100,175,1,6/17/24 8:06,R_1Uvh3DmoMWQUn3X,anonymous,EN,1,2,2,50,60,60,19,,,,,61,18,1,2,,50,4,,12,,,,17.19,
6/17/24 8:03,6/17/24 8:06,0,100,198,1,6/17/24 8:06,R_6ANK7DVNSp1HYsS,anonymous,EN,1,2,1,,,,,50,35,40,35,55,1,1,2,,33,6,,9,,,,7.58,
6/17/24 8:02,6/17/24 8:07,0,100,252,1,6/17/24 8:07,R_1pbBOtHxPALMYAG,anonymous,EN,1,2,2,,,,,40,71,50,30,40,30,1,2,,57,4,,10,,,,17.71,
6/17/24 7:56,6/17/24 8:07,0,100,626,1,6/17/24 8:07,R_3gYi9rYwAR9hdG0,anonymous,EN,1,2,2,,,,,59,30,27,12,60,45,1,2,,28,4,,12,,,,17.88,
6/17/24 8:01,6/17/24 8:07,0,100,374,1,6/17/24 8:07,R_689tkY81k8yC6xb,anonymous,EN,1,2,2,95,100,0,0,,,,,90,50,1,2,,48,2,,13,,,,,
6/17/24 8:03,6/17/24 8:07,0,100,267,1,6/17/24 8:07,R_5pKtFrGAywlKpW0,anonymous,EN,1,2,2,,,,,87,87,85,48,90,94,1,1,,36,5,,10,,,,19.32,
6/17/24 8:06,6/17/24 8:08,0,100,76,1,6/17/24 8:08,R_1CZ4rk0e9dYmZot,anonymous,EN,1,2,2,81,81,82,80,,,,,54,50,1,1,,23,4,,10,,,,17.29,
6/17/24 8:02,6/17/24 8:08,0,100,313,1,6/17/24 8:08,R_3qjpjG66vrhLM0g,anonymous,EN,1,2,2,,,,,80,70,50,0,70,83,1,2,,35,4,,12,,,,19.32,
6/17/24 8:05,6/17/24 8:08,0,100,179,1,6/17/24 8:08,R_72r9sNC3kNuc8Kf,anonymous,EN,1,2,1,,,,,85,30,0,0,61,10,1,2,,42,4,,11,,,,5.96,
6/17/24 8:05,6/17/24 8:08,0,100,182,1,6/17/24 8:08,R_6q9FouQ3tCMF0Em,anonymous,EN,1,2,2,50,50,60,40,,,,,65,60,1,1,,38,2,,12,,,,18.15,
6/17/24 8:06,6/17/24 8:08,0,100,138,1,6/17/24 8:08,R_7Qll48ryhbsvy9w,anonymous,EN,1,2,2,,,,,0,0,0,0,77,58,1,1,,33,4,,13,,,,18.56,
6/17/24 8:07,6/17/24 8:09,0,100,109,1,6/17/24 8:09,R_38Cm5xLndLGWG9O,anonymous,EN,1,2,2,23,80,92,7,,,,,81,12,1,1,,21,2,,11,,,,17.27,
6/17/24 8:07,6/17/24 8:09,0,100,80,1,6/17/24 8:09,R_1tixkj9NKNmxzfH,anonymous,EN,1,2,2,,,,,23,20,20,0,80,37,1,1,,33,2,,14,,,,8.17,
6/17/24 8:03,6/17/24 8:09,0,100,373,1,6/17/24 8:09,R_6HNWVT2ghhWXAFo,anonymous,EN,1,2,2,,,,,50,40,55,50,100,80,1,2,,34,3,,13,,,,19.14,
6/17/24 8:06,6/17/24 8:10,0,100,187,1,6/17/24 8:10,R_7Itp0FwR5ONkXXC,anonymous,EN,1,2,2,,,,,80,55,80,0,85,30,2,1,,26,3,,13,,,,18.27,
6/17/24 8:05,6/17/24 8:10,0,100,258,1,6/17/24 8:10,R_6Cj1tvb1t8sq0Sl,anonymous,EN,1,2,2,38,53,64,65,,,,,77,50,1,1,,33,4,,10,,,,19.3,
6/17/24 8:06,6/17/24 8:10,0,100,232,1,6/17/24 8:10,R_6O4NScxBaqdnPwJ,anonymous,EN,1,2,2,55,26,0,0,,,,,71,50,1,1,,30,3,,12,,,,19.3,
6/17/24 8:08,6/17/24 8:10,0,100,87,1,6/17/24 8:10,R_1vLsfNB1hPebjCF,anonymous,EN,1,2,2,,,,,0,0,0,0,100,100,1,1,,41,4,,10,,,,17.68,
6/17/24 8:04,6/17/24 8:10,0,100,348,1,6/17/24 8:10,R_6cq1wLfOYoxDJIg,anonymous,EN,1,2,2,65,73,62,10,,,,,90,80,1,2,,29,5,,11,,,,17.28,
6/17/24 8:09,6/17/24 8:10,0,100,84,1,6/17/24 8:10,R_1eQp1phZO7KsODY,anonymous,EN,1,2,2,50,50,50,50,,,,,34,22,1,1,,32,4,,12,,,,18.5,
6/17/24 8:08,6/17/24 8:10,0,100,164,1,6/17/24 8:10,R_6n6djFimooR4YjL,anonymous,EN,1,2,2,50,40,0,0,,,,,71,0,1,1,,52,1,,12,,,,10.36,
6/17/24 8:06,6/17/24 8:10,0,100,259,1,6/17/24 8:10,R_5MlecGs9jRwk1EJ,anonymous,EN,1,2,2,,,,,58,60,66,59,67,53,1,2,,30,3,,16,,,,8.94,
6/17/24 8:08,6/17/24 8:11,0,100,165,1,6/17/24 8:11,R_5uT6VWrVwkl9DZD,anonymous,EN,1,2,2,,,,,11,32,36,15,61,50,1,2,,33,1,,14,,,,17.45,
6/17/24 8:09,6/17/24 8:11,0,100,125,1,6/17/24 8:11,R_7DBeIdeeyLjjXni,anonymous,EN,1,2,2,,,,,40,30,6,10,26,7,1,1,,25,4,,12,,,,17.61,
6/17/24 8:09,6/17/24 8:11,0,100,149,1,6/17/24 8:11,R_38ypZkYH0oOSI3T,anonymous,EN,1,2,2,,,,,26,18,9,9,14,16,1,2,,40,5,,11,,,,18.54,
6/17/24 8:08,6/17/24 8:11,0,100,160,1,6/17/24 8:11,R_1zUAoACHb3ZVY0O,anonymous,EN,1,2,2,91,91,19,0,,,,,77,19,1,1,,40,4,,11,,,,17.18,
6/17/24 8:10,6/17/24 8:11,0,100,96,1,6/17/24 8:11,R_1jc8FgHmLWrlrrF,anonymous,EN,1,2,2,,,,,0,0,0,0,58,0,1,2,,30,5,,14,,,,17.68,
6/17/24 8:09,6/17/24 8:12,0,100,144,1,6/17/24 8:12,R_7FIP6FEdPBIHaP7,anonymous,EN,1,2,2,,,,,3,0,0,0,85,60,1,2,,33,4,,14,,,,5.14,
6/17/24 8:09,6/17/24 8:12,0,100,189,1,6/17/24 8:12,R_1uu5aGMx3aLJMOJ,anonymous,EN,1,2,2,60,70,20,10,,,,,90,60,1,1,,39,4,,9,,,,18.31,
6/17/24 8:10,6/17/24 8:12,0,100,176,1,6/17/24 8:12,R_5EcnkzlfBQ4mLbe,anonymous,EN,1,2,2,25,5,5,0,,,,,80,60,1,1,,34,4,,14,,,,16.78,
6/17/24 8:06,6/17/24 8:13,0,100,390,1,6/17/24 8:13,R_5QzsMyVrYDfGHBM,anonymous,EN,1,2,2,80,80,70,70,,,,,50,40,1,2,,58,4,,13,,,,18.83,
6/17/24 8:11,6/17/24 8:13,0,100,131,1,6/17/24 8:13,R_7k1cNcMPKNnMUg1,anonymous,EN,1,2,2,,,,,33,27,0,0,51,0,1,2,,41,4,,13,,,,,
6/17/24 8:13,6/17/24 8:14,0,100,57,1,6/17/24 8:14,R_3DUsCk6FpfqFJnW,anonymous,EN,1,2,2,50,50,50,50,,,,,38,35,1,2,,23,4,,11,,,,1.47,
6/17/24 8:10,6/17/24 8:14,0,100,243,1,6/17/24 8:14,R_6QsascJJMy6LXGk,anonymous,EN,1,2,2,60,5,0,0,,,,,60,0,1,2,,45,4,,10,,,,18.44,
6/17/24 8:12,6/17/24 8:14,0,100,139,1,6/17/24 8:14,R_5uOKUcJMTqeUTPj,anonymous,EN,1,2,2,0,0,0,0,,,,,70,59,1,2,,35,6,,10,,,,,
6/17/24 8:12,6/17/24 8:14,0,100,98,1,6/17/24 8:14,R_7nOfkmXGnEH7dYL,anonymous,EN,1,2,2,27,39,22,4,,,,,76,54,2,2,,24,4,,11,,,,16.96,
6/17/24 8:12,6/17/24 8:14,0,100,135,1,6/17/24 8:14,R_79uDzKfwukHfl8l,anonymous,EN,1,2,2,62,48,58,52,,,,,88,56,1,1,,30,3,,12,,,,18.1,
6/17/24 8:12,6/17/24 8:14,0,100,153,1,6/17/24 8:14,R_1qfzeS9peYK3yZp,anonymous,EN,1,2,2,,,,,20,29,60,0,51,28,1,2,,51,4,,11,,,,8.97,
6/17/24 8:12,6/17/24 8:14,0,100,135,1,6/17/24 8:14,R_3BbMh10bVBcqo6K,anonymous,EN,1,2,2,,,,,60,59,19,12,35,13,1,1,,32,4,,12,,,,11.83,
