"StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","consent_q","attn_1","attn_2","Present_Capability_1","Present_Trust_1","Present_Why","Absent_Capability_1","Absent_Trust_1","Absent_Why","Faded_Capability_1","Faded_Trust_1","Faded_Why","Adjacent_Capability_1","Adjacent_Trust_1","Adjacent_Why","comp_images","AI_Familiarity_1","Visual_Familiarity_1","gender","gender_5_TEXT","age","education","education_8_TEXT","income"
"2023-12-15 09:41:38","2023-12-15 09:45:40","0","100","241","1","2023-12-15 09:45:41","R_1PpIYoxG9oHCe6q","anonymous","EN","1","1","2","","","","","","","","","","28","73","The problem is  the Autonomous car can't see or ditacte the person looking down at their phone with no intent  to cross the road.","1","91","86","2","","37","5","","10"
"2023-12-15 09:41:10","2023-12-15 09:45:49","0","100","279","1","2023-12-15 09:45:50","R_3dS1zbPjCvXCr61","anonymous","EN","1","1","2","","","","","","","91","85","The pedestrian has back turned against the crosswalk which signifiers that he is much less likely top cross at the time.","","","","1","86","71","1","","50","4","","10"
"2023-12-15 09:43:17","2023-12-15 09:46:02","0","100","164","1","2023-12-15 09:46:03","R_6l4dAyIg7FS6MTM","anonymous","EN","1","1","2","","","","","","","","","","78","68","I think it will slow down since it has people on their radar.","1","50","51","1","","27","4","","12"
"2023-12-15 09:41:42","2023-12-15 09:46:04","0","100","262","1","2023-12-15 09:46:05","R_3CZHTMmFenzxspP","anonymous","EN","1","1","2","86","85","self-driving car can recognize from its front-facing camera, made possible by Artificial Intelligence (AI) software.","","","","","","","","","","1","73","65","2","","44","4","","8"
"2023-12-15 09:43:15","2023-12-15 09:46:12","0","100","177","1","2023-12-15 09:46:13","R_6Oq4Yeqr41n9Q0d","anonymous","EN","1","1","2","","","","26","24","A pedestrian is unpredictable and based on the annotation the AI software has no way of detecting human intentions. ","","","","","","","1","66","68","3","","32","4","","12"
"2023-12-15 09:42:06","2023-12-15 09:46:33","0","100","266","1","2023-12-15 09:46:33","R_5HTZNhHdkgGTyap","anonymous","EN","1","1","2","","","","0","18","Nobody and not even a computer can know what someone is thinking or what they intend to do.  I do not trust AI with my life or for it to act appropriately, there are zero consequences for a software program.  If they AI kills someone, then nothing changes for the AI, it has no feelings or emotions.  ","","","","","","","1","23","0","1","","56","5","","15"
"2023-12-15 09:44:57","2023-12-15 09:46:53","0","100","116","1","2023-12-15 09:46:54","R_3yLXxKYVux0RsfT","anonymous","EN","1","1","2","","","","","","","96","89","The following image shows what a self-driving car can recognize from its front-facing camera, made possible by Artificial Intelligence (AI) software.  The boxes represent the locations where the AI software thinks people and cars are.  The labels represent what the AI software thinks each box is. Please rate the extent to which you agree with the following statements about the AI software that is creating these annotations:  In this image, the pedestrian does not intend to cross the road.   Please rate the extent to which you agree with the following statement:   Based on what this autonomous vehicle sees above, I believe it can detect that the pedestrian does not intend to cross the road.   Please rate the extent to which you agree with the following statement:   Based on what this autonomous vehicle sees above, I trust that it will behave appropriately around pedestrians like the one in the image.   Please explain your answers to the questions above:","","","","1","84","62","1","","37","1","","1"
"2023-12-15 09:44:21","2023-12-15 09:46:54","0","100","152","1","2023-12-15 09:46:54","R_1Qa9oJpHRWRjJXC","anonymous","EN","1","1","2","100","100","The person is facing away from the street, and the AI detects it","","","","","","","","","","1","50","50","2","","31","3","","15"
"2023-12-15 09:42:19","2023-12-15 09:46:57","0","100","277","1","2023-12-15 09:46:57","R_1qkEuaUFWOR73KH","anonymous","EN","1","1","2","","","","","","","","","","8","50","I'm not sure how the AI could judge the pedestrian's intentions from identifying it as a box or rectangle ","1","50","19","2","","37","5","","15"
"2023-12-15 09:44:20","2023-12-15 09:47:07","0","100","167","1","2023-12-15 09:47:07","R_3NIO7sFO9Hiz2zn","anonymous","EN","1","1","2","","","","","","","54","58","nothing is mentioned about AI knowing when a person is in motion. But they may be able to tell just by proximity to the street","","","","1","75","37","1","","50","4","","10"
"2023-12-15 09:44:42","2023-12-15 09:47:13","0","100","150","1","2023-12-15 09:47:13","R_8AXrDUDQsiecRXU","anonymous","EN","1","1","2","","","","","","","","","","25","23","I feel it is very difficult for AI to be able to decipher intent from something as unpredictable as human behavior.  I would not trust it to make an accurate assesment.","1","31","13","1","","43","2","","13"
"2023-12-15 09:44:35","2023-12-15 09:47:42","0","100","187","1","2023-12-15 09:47:43","R_6SxbYHlhfEaCaVy","anonymous","EN","1","1","2","","","","0","0","It very much looks like that pedestrian is going to cross the road. The pedestrian is in the road and seems to be already crossing. I marked 0 for each is it seems like the wrong decision is being made.","","","","","","","1","60","10","1","","40","4","","12"
"2023-12-15 09:43:21","2023-12-15 09:47:50","0","100","269","1","2023-12-15 09:47:51","R_1V9bUyUPzSvG1GN","anonymous","EN","1","1","2","61","58","The pedestrian, might turn around and start to cross at any time.","","","","","","","","","","1","60","30","1","","77","3","","13"
"2023-12-15 09:45:21","2023-12-15 09:48:00","0","100","159","1","2023-12-15 09:48:01","R_32VK3U6kC3APzvY","anonymous","EN","1","1","2","80","90","I think if the AI is good enough to detect pedestrians it should also be able to detect their movement and the direction they are facing to tell if they would going to enter the road or not. ","","","","","","","","","","1","80","80","1","","53","5","","10"
"2023-12-15 09:42:32","2023-12-15 09:48:21","0","100","349","1","2023-12-15 09:48:21","R_5N322uaWZkBI8on","anonymous","EN","1","1","2","50","50","The image contains labels reading ""pedestrian"", ""edge of street"", ""crosswalk"", ""car"" and ""hood of self driving car"". Juxtaposition is the only thing being communicated here. ","","","","","","","","","","1","50","50","2","","25","3","","15"
"2023-12-15 09:45:00","2023-12-15 09:48:24","0","100","204","1","2023-12-15 09:48:25","R_5IaAgxel8JllR29","anonymous","EN","1","1","2","100","100","I think the car was correct because the man is not even facing the crosswalk, he's standing still and messing with his phone.","","","","","","","","","","1","74","13","1","","41","3","","14"
"2023-12-15 09:45:33","2023-12-15 09:48:27","0","100","174","1","2023-12-15 09:48:28","R_7OvPZoXDVXHyAB8","anonymous","EN","1","1","2","","","","88","84","Please explain your answers to the questions above:","","","","","","","1","72","90","1","","45","1","","8"
"2023-12-15 09:46:46","2023-12-15 09:48:28","0","100","102","1","2023-12-15 09:48:28","R_5vtglYLOZOxCldD","anonymous","EN","1","1","2","","","","","","","0","50","With this view, I don't think you can determine that the person doesn't want to pass. I feel like there's too much ambiguity there, so I don't know that it will react correctly.","","","","1","70","49","2","","27","4","","13"
"2023-12-15 09:43:46","2023-12-15 09:48:34","0","100","287","1","2023-12-15 09:48:35","R_7vUfXITquyr5heh","anonymous","EN","1","1","2","","","","","","","32","50","from the p[oicture you can not really tell either way what the person is doing or if they r crossing or not.","","","","1","19","16","2","","50","3","","15"
"2023-12-15 09:45:26","2023-12-15 09:48:50","0","100","204","1","2023-12-15 09:48:51","R_3R48bKJhtkaJf8A","anonymous","EN","1","1","2","","","","","","","9","50","Hard to tell what it is programmed to do. It can see there is a person there, but I'm not sure if it knows whether it intendes to cross or not.","","","","1","60","28","1","","50","4","","12"
"2023-12-15 09:46:07","2023-12-15 09:48:52","0","100","164","1","2023-12-15 09:48:52","R_6u5C28HL6sAevnz","anonymous","EN","1","1","2","","","","","","","","","","90","80","the body language and focus of the person indicate they are not looking to cross the road. This is a bit nuanced for a self driving car because a person is in the cross walk, but i am not sure how well they read body language or can see where the persons eyes are focused","1","68","8","2","","36","4","","13"
"2023-12-15 09:45:55","2023-12-15 09:48:57","0","100","182","1","2023-12-15 09:48:58","R_63fWQOyQBgWiDok","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","",""
"2023-12-15 09:46:34","2023-12-15 09:49:33","0","100","178","1","2023-12-15 09:49:33","R_3FQ6IzdTd6e9OO5","anonymous","EN","1","1","2","","","","","","","","","","46","31","Pedestrian looks like he could either turn and walk across the sidewalk (is distracted on phone) or walk the other way. I think the AI might decide the pedestrian will not cross which could lead to an accident. It is hard for a human to tell much less AI.","1","57","55","1","","31","4","","14"
"2023-12-15 09:42:42","2023-12-15 09:49:43","0","100","420","1","2023-12-15 09:49:43","R_6DLIFEjjGpF2hSF","anonymous","EN","1","1","2","","","","","","","","","","0","50","In this moment the pedestrian is standing still. I don't believe the autonomous vehicle can anticipate the pedestrians movement until he moves.","1","40","0","1","","28","4","","13"
"2023-12-15 09:45:46","2023-12-15 09:49:53","0","100","246","1","2023-12-15 09:49:53","R_7n3kxy8yLASDTpa","anonymous","EN","1","1","2","66","64","Human movement is often unpredictable so even though the person is not facing the road, there is a chance he might turn around and quickly enter the road","","","","","","","","","","1","71","50","1","","44","4","","9"
"2023-12-15 09:45:34","2023-12-15 09:49:53","0","100","258","1","2023-12-15 09:49:53","R_537TXOwcroGsIJS","anonymous","EN","1","1","2","","","","100","100","the image the vehicle sees show the pedestrian has already stepped off the curb and is in a crosswalk area.","","","","","","","1","71","18","2","","58","3","","15"
"2023-12-15 09:47:57","2023-12-15 09:49:55","0","100","118","1","2023-12-15 09:49:56","R_1kmQimYSjabHEh8","anonymous","EN","1","1","2","","","","23","53","I think that the self-driving car can't see that the person doesn't intend to cross the road because the person is next to the crosswalk, so it will slow down improperly. However, when time passes and the person doesn't cross, the car will continue driving.","","","","","","","1","27","10","2","","34","6","","10"
"2023-12-15 09:45:04","2023-12-15 09:49:59","0","100","294","1","2023-12-15 09:49:59","R_6LYyxd2UDGycDok","anonymous","EN","1","1","2","","","","","","","80","60","You cant be sure. That is the problem with AI>  You think it would know  but you really dont until the first pedestrian is hit","","","","1","41","20","1","","50","3","","16"
"2023-12-15 09:45:34","2023-12-15 09:50:05","0","100","270","1","2023-12-15 09:50:05","R_730qmJ4H0XkE3q9","anonymous","EN","1","1","2","","","","","","","","","","100","92","These technologies are designed to ensure the safe navigation of the vehicle and prevent accidents involving pedestrians.","1","40","50","2","","30","4","","1"
"2023-12-15 09:47:36","2023-12-15 09:50:06","0","100","149","1","2023-12-15 09:50:07","R_61Pgfwku3ZfSEPD","anonymous","EN","1","1","2","","","","","","","","","","81","80","the person detected on the ai and what the passenger sees is not moving and therefore not intending to cross the road. ","1","46","34","1","","29","3","","14"
"2023-12-15 09:48:00","2023-12-15 09:50:27","0","100","146","1","2023-12-15 09:50:28","R_1zjPK1ZO9YfsJs0","anonymous","EN","1","1","2","59","64","I believe the software is powerful enough to understand which side the person is facing and if they will be coming in car's way","","","","","","","","","","1","62","58","2","","30","4","","11"
"2023-12-15 09:48:41","2023-12-15 09:50:41","0","100","119","1","2023-12-15 09:50:41","R_3IXoCOLw87z7NDD","anonymous","EN","1","1","2","","","","12","27","Based on what I see, it looks like the pedestrian is already on the edge of the cross walk getting ready to cross. ","","","","","","","1","64","59","1","","41","3","","14"
"2023-12-15 09:44:47","2023-12-15 09:50:43","0","100","356","1","2023-12-15 09:50:44","R_3qdDM9nGrmluoiM","anonymous","EN","1","1","2","","","","76","65","The car will be able to navigate around the boxes because AI will help with the visuals and obstructions at eye level","","","","","","","1","78","92","2","","34","3","","12"
"2023-12-15 09:42:55","2023-12-15 09:50:54","0","100","478","1","2023-12-15 09:50:54","R_3rCPAjSml16FWUE","anonymous","EN","1","1","2","","","","","","","","","","0","0","dude it is driving based on algorithm, why would i trust that to be safe?","1","67","0","1","","30","3","","13"
"2023-12-15 09:47:33","2023-12-15 09:50:57","0","100","203","1","2023-12-15 09:50:58","R_6BmvbNmevgq9lW9","anonymous","EN","1","1","2","","","","","","","1","10","It can't predict what the pedestrian will do. Will the person turn around and go back? Will they suddenly stop in the middle of the street? No way to predict.","","","","1","25","10","2","","64","1","","15"
"2023-12-15 09:45:11","2023-12-15 09:51:02","0","100","350","1","2023-12-15 09:51:03","R_3v1YD6t77TfPL5C","anonymous","EN","1","1","2","","","","","","","","","","50","80","First question I think the car sees a pedestrian but I see 2 pedestrians.   Second question I don't know if the car can tell which way the pedestrians are standing.","1","30","5","2","","61","1","","14"
"2023-12-15 09:47:22","2023-12-15 09:51:03","0","100","220","1","2023-12-15 09:51:03","R_35UKhDLnIrhETnz","anonymous","EN","1","1","2","0","74","I don't think that it would have the capability to detect whether the pedestrian intends to cross the street. I would assume that it would be programmed to error on the side of caution, but I'm not certain.","","","","","","","","","","1","22","0","2","","53","3","","12"
"2023-12-15 09:48:06","2023-12-15 09:51:12","0","100","186","1","2023-12-15 09:51:13","R_3RbkgWyOPx3XpO9","anonymous","EN","1","1","2","","","","","","","90","85","I believe the car can recognize the person isn't facing towards the street.","","","","1","60","55","1","","43","4","","11"
"2023-12-15 09:48:43","2023-12-15 09:51:32","0","100","168","1","2023-12-15 09:51:32","R_5fBfbvzj9kotlGF","anonymous","EN","1","1","2","","","","","","","","","","80","80","I know I should trust AI, but I am still skeptical about it.","1","75","100","2","","24","3","","13"
"2023-12-15 09:49:20","2023-12-15 09:51:49","0","100","149","1","2023-12-15 09:51:50","R_7OwtNPnjVDEClkB","anonymous","EN","1","1","2","","","","90","84","self-driving car can recognize from its front-facing camera, made possible by Artificial Intelligence AI software.","","","","","","","1","91","93","1","","32","3","","1"
"2023-12-15 09:48:43","2023-12-15 09:51:50","0","100","186","1","2023-12-15 09:51:50","R_61iHpUj8KHuZ643","anonymous","EN","1","1","2","","","","22","50","I'm not sure how it can tell if the pedestrian will cross the road. To me, it looks like the pedestrian is about to cross.","","","","","","","1","25","0","2","","29","1","","11"
"2023-12-15 09:44:47","2023-12-15 09:52:00","0","100","433","1","2023-12-15 09:52:01","R_1dK9qUGv7KUqdST","anonymous","EN","1","1","2","","","","81","91","It will have sensors to detect movements for a certain distance. So, it can detect it easily.","","","","","","","1","71","70","2","","44","4","","9"
"2023-12-15 09:49:41","2023-12-15 09:52:12","0","100","150","1","2023-12-15 09:52:12","R_6kAmfWmOeQvEgDQ","anonymous","EN","1","1","2","60","40","Since the person is standing just to the side of the crosswalk in the street, the autonomous vehicle may believe the person is planning to cross and will either stop and wait (regardless if the person actually crosses) or does not intend to stop since the person is outside of the crosswalk frame. ","","","","","","","","","","1","70","70","2","","33","4","","13"
"2023-12-15 09:47:12","2023-12-15 09:52:21","0","100","309","1","2023-12-15 09:52:22","R_3xarLmIsnk2iFoZ","anonymous","EN","1","1","2","","","","8","72","I would assume that the vehicle is programmed to be cautious around pedestrians standing close to a crosswalk.","","","","","","","1","52","52","2","","41","5","","11"
"2023-12-15 09:42:52","2023-12-15 09:52:36","0","100","583","1","2023-12-15 09:52:36","R_1H7an90551tJYox","anonymous","EN","1","1","2","","","","30","40","First of all, it appears as though the pedestrian is about to get hit by a car, but not your car. So for the a.i. to assume the pedestrian does not want to cross the road is not a safe program. The a.i. should be able to double check and/or come to a complete stop just in case to allow more time for the data to register.","","","","","","","1","85","75","2","","38","4","","13"
"2023-12-15 09:45:35","2023-12-15 09:52:36","0","100","420","1","2023-12-15 09:52:36","R_6wHcg4VntkQy1Qn","anonymous","EN","1","1","2","85","71","It would have to purposefully try to hit the person, which seems unlikely.","","","","","","","","","","1","82","29","1","","39","4","","10"
"2023-12-15 09:48:47","2023-12-15 09:52:38","0","100","231","1","2023-12-15 09:52:38","R_8S8owZKVB6M5IVH","anonymous","EN","1","1","2","92","78","The pedestrian is distracted, at least for the time that the AI car is in his vicinity.  I believe the AI will make the car slow down, but not stop, which is appropriate in this situation","","","","","","","","","","1","72","53","2","","66","4","","10"
"2023-12-15 09:49:06","2023-12-15 09:52:51","0","100","225","1","2023-12-15 09:52:52","R_7U0dKEcijEcHhtb","anonymous","EN","1","1","2","","","","","","","","","","67","78","Autonomous cars often have video cameras and sensors in order to see and interpret the objects in the road just like human drivers do with their","2","71","64","2","","30","4","","8"
"2023-12-15 09:48:47","2023-12-15 09:52:58","0","100","250","1","2023-12-15 09:52:59","R_3qeispvWTUbqDwD","anonymous","EN","1","1","2","","","","","","","","","","0","82","It depends on what is defined as appropriate behavior in this case. Do you expect the vehicle to know the pedestrian isn't going to cross, or do you expect the vehicle to behave in all cases as if the pedestrian will cross, regardless of the pedestrian's actual intent?","1","51","51","2","","49","8","Professional Degree (JD)","12"
"2023-12-15 09:48:20","2023-12-15 09:53:04","0","100","283","1","2023-12-15 09:53:04","R_73pxId0CnAOjKw4","anonymous","EN","1","1","2","9","6","people change minds and direction in a blink, a human cannot tell, why would a machine be able to do so?","","","","","","","","","","1","68","54","2","","67","3","","13"
"2023-12-15 09:48:42","2023-12-15 09:53:09","0","100","267","1","2023-12-15 09:53:09","R_6Jwv4GrkQDkgaux","anonymous","EN","1","1","2","","","","","","","","","","19","29","I don't believe the vehicle knows what the peded3strians may do, it simply seems to visualize them.","1","6","0","2","","65","2","","13"
"2023-12-15 09:46:24","2023-12-15 09:53:15","0","100","410","1","2023-12-15 09:53:16","R_3Y5R3VNITSHVFkt","anonymous","EN","1","1","2","","","","","","","65","70","The car may not detect movement toward the crosswalk by person thus the vehicle will judge that the person will not cross. The vehicle is watching the movement of the person.","","","","1","60","50","1","","54","4","","12"
"2023-12-15 09:49:12","2023-12-15 09:53:30","0","100","258","1","2023-12-15 09:53:31","R_10bEgoR6oK4oJOM","anonymous","EN","1","1","2","","","","","","","45","50","I'm not sure, I've never driven one yet, nor have I heard from others about what these cars do in these situations.","","","","1","97","17","1","","32","4","","12"
"2023-12-15 09:52:10","2023-12-15 09:55:01","0","100","170","1","2023-12-15 09:55:02","R_32qubQT3cXG1H0t","anonymous","EN","1","1","2","","","","","","","25","26","Because you never know what people will do. They have a mind of their own","","","","1","66","66","2","","45","4","","14"
"2023-12-15 09:50:25","2023-12-15 09:55:03","0","100","278","1","2023-12-15 09:55:04","R_5YWKxuVzGDMUF5i","anonymous","EN","1","1","2","","","","50","50","The location of the pedestrian indicates that they either have just crossed the road or are intending to cross it. The AI assumes the latter which has only 50% chance of being correct.","","","","","","","1","66","10","2","","52","5","","12"
"2023-12-15 09:50:10","2023-12-15 09:55:20","0","100","310","1","2023-12-15 09:55:21","R_6oiGY4hshsI9K0y","anonymous","EN","1","1","2","","","","","","","73","71","While the image annotations provide a glimpse into the AI's object recognition capabilities, determining nuanced aspects like pedestrian intent involves challenges. Trust in the autonomous vehicle's behavior is contingent on a thorough understanding of the AI system's strengths and limitations, real-world performance, and the reliability of its design and testing processes.","","","","1","82","69","1","","29","2","","11"
"2023-12-15 09:53:48","2023-12-15 09:56:28","0","100","160","1","2023-12-15 09:56:29","R_7C2bIzZ6GKtS5Yq","anonymous","EN","1","1","2","","","","0","8","Computers, while they often make errors less than humans do, they still make errors.","","","","","","","1","60","10","1","","29","2","","13"
"2023-12-15 09:52:21","2023-12-15 09:56:44","0","100","263","1","2023-12-15 09:56:44","R_52D33oYruJFNmew","anonymous","EN","1","1","2","0","58","I don't think it can guess the intentions of the pedestrian but it knows they are there, so it may slow down as a precaution to avoid a potential collision with them.","","","","","","","","","","1","22","45","3","","30","1","","15"
"2023-12-15 09:56:04","2023-12-15 09:58:44","0","100","160","1","2023-12-15 09:58:45","R_3fmjaLJ4ytPFhgT","anonymous","EN","1","1","2","17","20","I think the car is good at detecting still objects that are not in motion. But I do not think it is capable of judging future behavior, especially with ""objects"" that have free will.","","","","","","","","","","1","71","53","2","","35","4","","12"
"2023-12-15 09:52:54","2023-12-15 09:59:18","0","100","384","1","2023-12-15 09:59:19","R_17eB4VuGWi1Fl5K","anonymous","EN","1","1","2","","","","","","","","","","93","91"," Determining a pedestrian's intent solely based on their position and posture is challenging for both humans and AI. While the AI software might be able to detect the pedestrian's location, accurately inferring their intent from a single image is difficult, especially without considering factors like body language, eye contact, and surrounding context.","1","81","88","1","","42","5","","9"
"2023-12-15 09:56:21","2023-12-15 09:59:25","0","100","184","1","2023-12-15 09:59:26","R_67y8pvf1gueSW6p","anonymous","EN","1","1","2","","","","24","82","I think the AI will err on the side of caution and not run people over","","","","","","","1","52","9","2","","62","4","","10"
"2023-12-15 09:50:15","2023-12-15 09:59:50","0","100","575","1","2023-12-15 09:59:51","R_6BOP8FA77X0Bwve","anonymous","EN","1","1","2","","","","","","","","","","0","15","Since the AI is only using a rendering of a box to determine where the pedestrian is, there is no indication of purposeful direction so the AI has absolutely no idea where they will move. Conversely, as a human we can see the pedestrian and by using body language cues (shoulder direction, focus of pedestrian, eye contact, etc.) a human can determine whether the pedestrian is crossing the road or not.  I think the AI will just have around a 15% chance of guessing it right and that the burden of not getting run over will fall more heavily on pedestrians.","1","81","16","2","","41","4","","10"
"2023-12-15 09:48:51","2023-12-15 10:00:15","0","100","684","1","2023-12-15 10:00:15","R_5klwkd7bMTDymFX","anonymous","EN","1","1","2","","","","","","","60","65","The vehicle seems to have done a quite accurate assessment/labeling of the objects/people in and around the street, so I have some confidence that it can identify the pedestrian appropriately and determine how to react around them, but I just don't have enough information about how the vehicle functions to have a higher confidence in this.","","","","1","65","15","2","","39","4","","11"
"2023-12-15 10:01:49","2023-12-15 10:03:50","0","100","120","1","2023-12-15 10:03:50","R_5nUxJjzJySaB6f3","anonymous","EN","1","1","2","","","","","","","90","94","a self-driving car can recognize from its front-facing camera, made possible by Artificial Intelligence Ai softftware.","","","","1","95","96","2","","41","4","","1"
"2023-12-15 09:58:50","2023-12-15 10:04:05","0","100","314","1","2023-12-15 10:04:06","R_1OjkzQvjjrO3DNj","anonymous","EN","1","1","2","","","","0","72","I would hope that there are set parameters for it to follow like if the yellow box person is within the purple edge of street lines it will not move forward.","","","","","","","1","14","0","2","","41","1","","14"
"2023-12-15 09:53:32","2023-12-15 10:05:47","0","100","734","1","2023-12-15 10:05:47","R_5dnDaTYTnTzLRi4","anonymous","EN","1","1","2","","","","","","","","","","76","62","pedestrians did not cross cars are parking we saw different the AI SEE DIFFERENT","1","82","58","2","","37","4","","10"
"2023-12-15 10:06:09","2023-12-15 10:10:46","0","100","277","1","2023-12-15 10:10:47","R_5WMtvfjoRE4gaV3","anonymous","EN","1","1","2","","","","","","","","","","81","71","I trust that it will behave appropriately around pedestrians like the image. So. I choose it.","1","78","79","2","","30","4","","9"
